pipeline	source	clashscore_mean	clashscore_median	clashscore_std	rama_outliers_mean	rama_outliers_median	rama_outliers_std	rama_favored_mean	rama_favored_median	rama_favored_std	rota_outliers_mean	rota_outliers_median	rota_outliers_std	molprobity_score_mean	molprobity_score_median	molprobity_score_std	cbeta_outliers_mean	cbeta_outliers_median	cbeta_outliers_std	rms_bonds_mean	rms_bonds_median	rms_bonds_std	rms_angles_mean	rms_angles_median	rms_angles_std
blue	af_relaxed	2.3663396226415094	1.456	2.2737460698439094	0.3280754716981132	0.20999999999999996	0.356342523696632	97.20781132075471	97.16	1.2258475412891918	0.7806415094339623	0.548	0.6209585361587736	0.6125283018867924	0.5439999999999999	0.33784706393082115	0.8641509433962263	0.2	1.4173504994589023	0.012405283018867926	0.01184	0.0020269459821400737	1.7424049056603774	1.71198	0.10016489888069272
blue	af_unrelaxed	21.707396226415092	18.982	11.038975318841215	0.8061698113207548	0.48	1.1184926968546873	97.16812264150943	97.622	1.6555555159524489	1.012254716981132	0.8099999999999999	0.7657878649233486	1.4935094339622643	1.46	0.31811292278066616	0.0	0.0	0.0	0.02158433962264151	0.02024	0.0039820392482679025	1.7249362264150945	1.66764	0.30717017250669687
blue	amber_af	2.342020408163265	1.498	2.161250048099054	0.3224795918367347	0.20400000000000001	0.3415964657430801	97.23931632653061	97.22200000000001	1.2606884308693764	0.7565510204081632	0.542	0.6384614665096767	0.6048571428571429	0.516	0.34098900275522087	0.8489795918367348	0.2	1.4930564915885902	0.012358673469387755	0.01182	0.00180999964764908	1.739896020408163	1.7101599999999997	0.09913707011937434
blue	amber_boltz	1.2402499999999999	0.9099999999999999	0.9128861526277933	0.116875	0.047	0.18596220446467532	97.939125	97.91399999999999	0.6537941515134499	0.27379166666666666	0.244	0.21953964972509732	0.3705833333333333	0.357	0.1467914765531449	0.2833333333333333	0.0	0.3953631959826162	0.01178	0.01175	0.0003560062155804516	1.7183983333333332	1.71042	0.034657974264833226
blue	boltz	12.675551282051284	11.05	5.773783853455664	0.13087179487179487	0.062000000000000006	0.18926715857547446	98.47310256410256	98.509	0.5107357738289726	0.19819230769230767	0.16799999999999998	0.21219386608102805	1.0946153846153845	1.083	0.1666625278520797	0.0	0.0	0.0	0.012627051282051282	0.01183	0.0023442104694304717	1.1776669230769232	1.1368900000000002	0.11849860896905848
green	af_relaxed	2.4813068181818183	1.509	2.606816784259419	0.2938068181818182	0.149	0.3710868577556243	97.28876136363637	97.28899999999999	1.1729235858486098	0.811625	0.615	0.6862579700473346	0.6119545454545454	0.518	0.35058369631001557	1.0272727272727273	0.30000000000000004	1.6228547394284594	0.012356022727272726	0.01189	0.001886890693136079	1.7420469318181817	1.7125024999999998	0.1086434186098164
green	af_unrelaxed	21.761170731707317	19.1	12.886029046805767	0.7037073170731707	0.48	0.9812909416656828	97.27712195121951	97.712	1.6588299520312815	0.8890731707317072	0.8699999999999999	0.7373076830687411	1.4638536585365853	1.4220000000000002	0.33210010245222826	0.0	0.0	0.0	0.021706829268292684	0.01996	0.004445275266518594	1.7411614634146342	1.66304	0.3501233907464693
green	amber_af	2.691	1.624	2.9778973065606293	0.2824102564102564	0.128	0.3804106311777977	97.25682051282051	97.438	1.230094195618559	0.8475897435897435	0.5820000000000001	0.7102326052612964	0.6319743589743589	0.526	0.3589605232055094	1.0025641025641026	0.4	1.564825058237498	0.012783333333333332	0.011899999999999999	0.002968446637316644	1.750344871794872	1.7136600000000002	0.12738451144946936
green	amber_boltz	1.4089473684210525	0.8560000000000001	2.0146299364743974	0.12063157894736841	0.052000000000000005	0.17978010909015094	97.92331578947369	97.99	0.6571223550250612	0.307421052631579	0.302	0.2016161232799341	0.36257894736842106	0.367	0.15253739135380606	0.2473684210526316	0.0	0.36148106907574323	0.01188842105263158	0.011779999999999999	0.0006866547435517399	1.7133605263157896	1.7097600000000002	0.040367355150884784
green	boltz	12.519154471544717	11.01	5.985114561280604	0.1132520325203252	0.052000000000000005	0.16529913592043777	98.47803252032521	98.548	0.576380178378042	0.20439024390243904	0.18	0.16258549720820434	1.0868943089430894	1.078	0.1712323703662558	0.0	0.0	0.0	0.012600487804878048	0.0118	0.002384443280117512	1.1733029268292683	1.13976	0.11331018926477669
