difficulty	pipeline	pair	protocol	metric	n_paired	amber_mean	std_mean	mean_delta	median_delta	ci_low	ci_high	paired_t_p	wilcoxon_p	cliffs_d	effect_label	paired_t_q	wilcoxon_q
medium	green	amber_boltz_vs_boltz	dualspace_beta	clashscore	60	0.70449	0.72481	-0.02032	-0.0186	-0.06514	0.0245	0.368034	0.295861	-0.2333	small	0.907824	0.890302
medium	green	amber_af_vs_af_relaxed	normal_beta	molprobity_score	60	0.24855	0.24493	0.00362	0.0016	-0.00403	0.01127	0.347455	0.563331	0.0667	negligible	0.907824	0.890302
medium	green	amber_af_vs_af_relaxed	normal_beta	clashscore	60	0.76406	0.72083	0.04323	-0.0004	-0.01686	0.10333	0.1553	0.430874	0.0	negligible	0.907824	0.890302
medium	green	amber_af_vs_af_relaxed	dualspace_beta	molprobity_score	60	0.23785	0.2356	0.00225	0.0028	-0.00441	0.00892	0.501445	0.365054	0.1833	small	0.907824	0.890302
medium	green	amber_af_vs_af_relaxed	dualspace_beta	clashscore	60	0.74505	0.73406	0.01099	0.0176	-0.01362	0.03561	0.375187	0.285772	0.2	small	0.907824	0.890302
difficult	blue	amber_boltz_vs_boltz	normal_beta	molprobity_score	35	0.24235	0.23063	0.01173	-0.008	-0.03821	0.06166	0.636273	0.588838	-0.0286	negligible	0.907824	0.890302
difficult	blue	amber_boltz_vs_boltz	normal_beta	clashscore	35	0.85547	0.6901	0.16537	-0.0616	-0.31417	0.64491	0.488176	0.22543	-0.1429	negligible	0.907824	0.890302
difficult	blue	amber_boltz_vs_boltz	dualspace_beta	molprobity_score	35	0.22993	0.23438	-0.00445	-0.0068	-0.02296	0.01407	0.628638	0.511767	-0.0857	negligible	0.907824	0.890302
difficult	blue	amber_boltz_vs_boltz	dualspace_beta	clashscore	35	0.72807	0.74472	-0.01665	-0.0344	-0.08902	0.05572	0.643042	0.543631	-0.1429	negligible	0.907824	0.890302
difficult	blue	amber_af_vs_af_relaxed	normal_beta	molprobity_score	35	0.2355	0.23875	-0.00326	-0.0012	-0.01353	0.00701	0.523599	0.915212	-0.0286	negligible	0.907824	0.953037
difficult	blue	amber_af_vs_af_relaxed	normal_beta	clashscore	35	0.63019	0.65097	-0.02078	-0.026	-0.06352	0.02196	0.330151	0.480881	-0.1429	negligible	0.907824	0.890302
difficult	blue	amber_af_vs_af_relaxed	dualspace_beta	molprobity_score	35	0.23341	0.23064	0.00277	0.0088	-0.00494	0.01047	0.470551	0.20137	0.2571	small	0.907824	0.890302
difficult	blue	amber_af_vs_af_relaxed	dualspace_beta	clashscore	35	0.71867	0.71173	0.00695	0.0304	-0.01974	0.03364	0.600222	0.251564	0.2571	small	0.907824	0.890302
difficult	green	amber_boltz_vs_boltz	normal_beta	molprobity_score	35	0.24321	0.22945	0.01376	-0.0088	-0.03619	0.06371	0.579246	0.533647	-0.2	small	0.907824	0.890302
difficult	green	amber_boltz_vs_boltz	normal_beta	clashscore	35	0.88237	0.68075	0.20161	-0.034	-0.28335	0.68657	0.404097	0.412833	-0.0286	negligible	0.907824	0.890302
difficult	green	amber_boltz_vs_boltz	dualspace_beta	molprobity_score	35	0.23418	0.2311	0.00309	0.018	-0.01764	0.02381	0.76402	0.947762	0.0286	negligible	0.917056	0.953037
difficult	green	amber_boltz_vs_boltz	dualspace_beta	clashscore	35	0.74273	0.73041	0.01232	-0.026	-0.07048	0.09512	0.764213	0.789553	-0.0286	negligible	0.917056	0.948599
difficult	green	amber_af_vs_af_relaxed	normal_beta	molprobity_score	35	0.24507	0.24726	-0.00218	-0.0056	-0.0099	0.00553	0.569034	0.476152	-0.2571	small	0.907824	0.890302
difficult	green	amber_af_vs_af_relaxed	normal_beta	clashscore	35	0.73521	0.74061	-0.00539	-0.0056	-0.04027	0.02948	0.755181	0.761875	-0.0286	negligible	0.917056	0.948599
difficult	green	amber_af_vs_af_relaxed	dualspace_beta	molprobity_score	35	0.238	0.23358	0.00442	0.0036	-0.00219	0.01103	0.182888	0.329755	0.0857	negligible	0.907824	0.890302
difficult	green	amber_af_vs_af_relaxed	dualspace_beta	clashscore	35	0.72896	0.71806	0.0109	0.0108	-0.01169	0.03349	0.333636	0.31724	0.0571	negligible	0.907824	0.890302
