pipeline	source	clashscore_mean	clashscore_median	clashscore_std	rama_outliers_mean	rama_outliers_median	rama_outliers_std	rama_favored_mean	rama_favored_median	rama_favored_std	rota_outliers_mean	rota_outliers_median	rota_outliers_std	molprobity_score_mean	molprobity_score_median	molprobity_score_std	cbeta_outliers_mean	cbeta_outliers_median	cbeta_outliers_std	rms_bonds_mean	rms_bonds_median	rms_bonds_std	rms_angles_mean	rms_angles_median	rms_angles_std
blue	af_relaxed	2.7714941634241246	1.98	2.2599380278260384	0.33270687418936445	0.252	0.41862099627779	97.00232425421531	97.148	1.6620247459681963	0.8793463035019455	0.706	0.7401663286441421	0.6877412451361868	0.6020000000000001	0.35684764312177913	1.1256160830090791	0.4	1.8152905657616096	0.012735317769130998	0.01178	0.002755316234610502	1.755082944228275	1.7205	0.11241880300644086
blue	af_unrelaxed	23.7694435483871	20.676000000000002	13.20436678217694	0.7444516129032258	0.44299999999999995	1.3744432828349744	97.07664516129033	97.432	2.2421499882782174	1.169725806451613	1.0390000000000001	0.8647686015519506	1.543983870967742	1.492	0.32765035140411236	0.0	0.0	0.0	0.02206008064516129	0.02103	0.004704477150186611	1.7442765322580644	1.69976	0.3307695341985383
blue	amber_af	2.815321862348178	1.9460000000000002	2.5105638069380127	0.3400344129554656	0.252	0.44500126955829644	96.9962024291498	97.17	1.65293009344473	0.9068663967611337	0.7260000000000001	0.7990328976384568	0.6932773279352227	0.592	0.37150555726312356	1.1692307692307693	0.4	2.097003430998269	0.012697165991902834	0.01178	0.0034422081305171106	1.7572970040485831	1.7153800000000001	0.12317295974411756
blue	amber_boltz	1.6141929460580915	1.3119999999999998	1.5483458018129226	0.1496369294605809	0.08199999999999999	0.2004726964090935	97.75063070539419	97.834	0.9000127594761722	0.36537759336099584	0.256	0.4357594837321585	0.4485394190871369	0.422	0.23547963354536866	0.5296680497925311	0.2	1.2734637369591375	0.011920124481327801	0.01174	0.0015122864811623826	1.735536203319502	1.71446	0.1083168709072106
blue	boltz	15.116764112903226	13.463999999999999	11.695662883012632	0.11896572580645161	0.072	0.14455735813919546	98.3778508064516	98.37100000000001	0.6546473522353972	0.23269556451612902	0.16499999999999998	0.24711085438061292	1.1602258064516129	1.161	0.19950216739904822	0.017741935483870968	0.0	0.15484007008239606	0.013258044354838709	0.01226	0.0032445436455163183	1.182154133064516	1.15271	0.14118260034736782
green	af_relaxed	2.79287675070028	1.8649999999999998	2.524612026699348	0.34369747899159664	0.251	0.46477816594362686	96.95654901960783	97.185	1.6394693895309724	0.8926134453781512	0.723	0.7348581149454361	0.6887310924369748	0.6020000000000001	0.36176424701950066	1.180672268907563	0.4	2.0260238256072323	0.01272952380952381	0.01179	0.002671865336451333	1.759019775910364	1.71799	0.12099954761627772
green	af_unrelaxed	24.65928	20.349	17.077697735971675	0.9355800000000001	0.487	1.9775685365538354	96.84155999999999	97.52799999999999	3.221492929269494	1.05572	0.885	1.0701222820714735	1.5378399999999999	1.48	0.38488593928932535	0.0	0.0	0.0	0.022355200000000002	0.02075	0.00529865019594518	1.7871431999999998	1.68857	0.4311535431460982
green	amber_af	2.780508547008547	1.903	2.586837624354575	0.3504017094017094	0.23900000000000002	0.45802343699669684	96.94862393162393	97.18299999999999	1.6560395836455093	0.9087521367521367	0.722	0.7725323489315055	0.6913376068376068	0.595	0.3639155583389026	1.1670940170940172	0.4	2.0449420738846005	0.012658504273504272	0.011770000000000001	0.0026026051462317446	1.7580874786324787	1.71544	0.12175293840189341
green	amber_boltz	1.724102011494253	1.298	2.0015068852789213	0.156378591954023	0.10450000000000001	0.2092275124910537	97.72867313218391	97.795	0.9033832941894823	0.38474712643678166	0.30300000000000005	0.41385865030851926	0.45730387931034483	0.41300000000000003	0.24419901601381455	0.5271551724137931	0.2	1.4142425234772238	0.012036091954022988	0.01174	0.0019413547966650269	1.737608915229885	1.71368	0.12299112012602675
green	boltz	15.195895480225987	13.324	11.266398039787179	0.12941242937853106	0.08	0.14611854171377434	98.34472881355931	98.32900000000001	0.6703055722485948	0.24031355932203388	0.198	0.24007137942624007	1.1662514124293786	1.156	0.19964196527933964	0.027966101694915254	0.0	0.24560324109731235	0.013361497175141242	0.01222	0.003460648106054699	1.1860871468926553	1.14891	0.15205387450976943
