pipeline	source	protocol	clashscore	clashscore	clashscore	molprobity_score	molprobity_score	molprobity_score	rota_outliers	rota_outliers	rota_outliers	rama_favored	rama_favored	rama_favored
			mean	std	count	mean	std	count	mean	std	count	mean	std	count
blue	af_relaxed	cartesian_beta	0.7377690426275332	0.3903508125888258	5724	0.23935534591194968	0.10912237160338163	5724	0.017718378756114605	0.06705090769488109	5724	98.63486547868622	0.6930848867320837	5724
blue	af_relaxed	cartesian_ref15	1.408328626897282	0.5746431061095609	5666	0.3857836216025415	0.12701194300689778	5666	0.015015884221673138	0.061039608587299614	5666	98.42027356159548	0.7435306242707821	5666
blue	af_relaxed	dualspace_beta	0.6775675675675675	0.3819815805169512	5624	0.22326813655761027	0.10821982131817402	5624	0.015832147937411098	0.06387552577838285	5624	98.68732752489332	0.6901734418353778	5624
blue	af_relaxed	dualspace_ref15	1.3216606628242074	0.5670267911281612	5552	0.36708393371757925	0.12432233087439301	5552	0.013179034582132565	0.05973337450267423	5552	98.46994776657061	0.7475068131801366	5552
blue	af_relaxed	normal_beta	0.6489770431588613	0.7334659252025345	5445	0.2339559228650138	0.15288914252189895	5445	0.033581267217630856	0.09180387251261816	5445	98.20814508723599	0.8653340749319068	5445
blue	af_relaxed	normal_ref15	0.9497886148711292	0.7988540288828387	5393	0.3255089931392546	0.164100047632928	5393	0.030817726682736878	0.09381157110213033	5393	97.93491748562953	0.9167741944681024	5393
blue	af_unrelaxed	cartesian_beta	0.7081788966256026	0.3878316625448327	3734	0.2319925013390466	0.11020908433047885	3734	0.026494376004284947	0.08775134026418807	3734	98.68011783610069	0.7106100253519957	3734
blue	af_unrelaxed	cartesian_ref15	1.416095574260114	0.6109233033306055	3683	0.3820879717621504	0.12957860450956243	3683	0.02103719793646484	0.07858961453828452	3683	98.51427912028238	0.7433479327483312	3683
blue	af_unrelaxed	dualspace_beta	0.6724331771837972	0.3624291038323279	3629	0.22144392394599063	0.10102729476956847	3629	0.019658308073849547	0.07852867000454261	3629	98.71188757233398	0.6674220117073945	3629
blue	af_unrelaxed	dualspace_ref15	1.2483370598099497	0.5575812429300274	3578	0.35019564002235887	0.12457236109363931	3578	0.018135830072666295	0.07517655295519682	3578	98.55569591950811	0.7712148934262313	3578
blue	af_unrelaxed	normal_beta	0.8571416478555305	0.8780685551222271	3544	0.2903414221218962	0.15695458216776673	3544	0.04363431151241535	0.11486028286670796	3544	98.15203442437924	0.937515382400883	3544
blue	af_unrelaxed	normal_ref15	1.2536505681818182	0.9851679232201941	3520	0.38082670454545453	0.17195191398926943	3520	0.03693465909090909	0.10776636998894494	3520	98.00959090909092	1.0659984867594936	3520
blue	amber_af	cartesian_beta	0.6396766743648962	0.35071802913349753	433	0.22189376443418013	0.1124335926756485	433	0.00933025404157044	0.05421377809516675	433	98.63526558891455	0.8195583646669384	433
blue	amber_af	cartesian_ref15	1.371186046511628	0.6031786336903112	430	0.38446511627906976	0.1337989565914155	430	0.013302325581395349	0.06892972499282192	430	98.42888372093023	0.8594472449587787	430
blue	amber_af	dualspace_beta	0.6207494145199063	0.4063208340192602	427	0.21044496487119438	0.125894130355316	427	0.01117096018735363	0.056854449698192755	427	98.67426229508197	0.7980446211990712	427
blue	amber_af	dualspace_ref15	1.2761259079903147	0.6151943442490992	413	0.3648668280871671	0.1497061658906915	413	0.015012106537530268	0.0641396560962402	413	98.45922518159807	0.9901815956550927	413
blue	amber_af	normal_beta	0.5983990147783251	0.4206815732511955	406	0.2412807881773399	0.15976320432801483	406	0.022142857142857145	0.08113448239068415	406	98.13509852216748	1.1774718114726244	406
blue	amber_af	normal_ref15	0.8949382716049382	0.5542002610505434	405	0.32150617283950617	0.17512075914517936	405	0.014864197530864197	0.06956223673349517	405	97.93693827160493	1.2144576708551755	405
blue	amber_boltz	cartesian_beta	0.6831604938271605	0.39648753169782613	405	0.22718518518518518	0.12062739364178307	405	0.01128395061728395	0.05739243804500756	405	98.67785185185186	0.7993608695576575	405
blue	amber_boltz	cartesian_ref15	1.4464141414141414	0.6770675939570997	396	0.39204545454545453	0.14317240365782774	396	0.013207070707070709	0.06757699818766548	396	98.53083333333333	0.8820253232680291	396
blue	amber_boltz	dualspace_beta	0.6382597402597402	0.4001651157451227	385	0.21376623376623377	0.12468542668534133	385	0.009168831168831168	0.05658083326216302	385	98.7025974025974	0.8140347725562672	385
blue	amber_boltz	dualspace_ref15	1.328355091383812	0.5980716475219	383	0.370757180156658	0.14127579149004124	383	0.021462140992167103	0.08492961670294948	383	98.56934725848564	0.8737898689712603	383
blue	amber_boltz	normal_beta	0.5387631578947368	0.40707826545562503	380	0.20007894736842105	0.13928670183329114	380	0.01976315789473684	0.07774999994418426	380	98.42423684210526	0.999341311671981	380
blue	amber_boltz	normal_ref15	0.7878947368421052	0.48504417498539815	380	0.2801842105263158	0.14076015928282967	380	0.022789473684210526	0.08848837793035877	380	98.22592105263158	0.9758062462202637	380
blue	boltz	cartesian_beta	0.6927470501474926	0.3658187053009508	2712	0.22869469026548672	0.10576551530876283	2712	0.016994837758112096	0.0766728065556211	2712	98.70944690265488	0.7214416921811874	2712
blue	boltz	cartesian_ref15	1.374199182460052	0.6396799702982878	2691	0.37295057599405423	0.12911303428885115	2691	0.01924934968413229	0.07760083663357771	2691	98.55919360832404	0.7601103789269344	2691
blue	boltz	dualspace_beta	0.6681753465717497	0.3604188249273277	2669	0.2208767328587486	0.1065186957798541	2669	0.02201198950917947	0.08734569949640132	2669	98.7422405395279	0.7149603949918438	2669
blue	boltz	dualspace_ref15	1.2946505477899508	0.6099568934364191	2647	0.35607480166225913	0.12902816755715008	2647	0.01664148092179826	0.07358245349508481	2647	98.64180204004533	0.7524629009693521	2647
blue	boltz	normal_beta	0.5720980091883614	0.37745103644538003	2612	0.20644333843797857	0.12429357430531976	2612	0.03803981623277182	0.11310079603950186	2612	98.46795176110261	0.7881555054034552	2612
