pipeline	source	protocol	mean	std	count
blue	af_relaxed	cartesian_beta	0.9269742107843136	0.11043603203047812	204
blue	af_relaxed	cartesian_ref15	0.9244432577996716	0.11058161214168227	203
blue	af_relaxed	dualspace_beta	0.9190989129720853	0.11518521260935376	203
blue	af_relaxed	dualspace_ref15	0.9168804240924092	0.11522876273201846	202
blue	af_relaxed	normal_beta	0.9256417512437811	0.11714682038142958	201
blue	af_relaxed	normal_ref15	0.9246805616666667	0.11753924025807337	200
blue	af_unrelaxed	cartesian_beta	0.9306956972477064	0.10463117918134975	109
blue	af_unrelaxed	cartesian_ref15	0.9283103777777778	0.10594556133494724	105
blue	af_unrelaxed	dualspace_beta	0.9257453106796116	0.10804749330638633	103
blue	af_unrelaxed	dualspace_ref15	0.9199868923611111	0.11210618978512811	96
blue	af_unrelaxed	normal_beta	0.9266410586080587	0.1150900111499164	91
blue	af_unrelaxed	normal_ref15	0.927138862962963	0.11564270373784932	90
blue	amber_af	cartesian_beta	0.9341325	0.08855127655770975	16
blue	amber_af	cartesian_ref15	0.9301375	0.09088344179955625	16
blue	amber_af	dualspace_beta	0.9236325	0.09752584419868751	16
blue	amber_af	dualspace_ref15	0.9227616666666667	0.09767125891365264	16
blue	amber_af	normal_beta	0.9238638095238095	0.11005485372674678	14
blue	amber_af	normal_ref15	0.9172066666666666	0.11067241631650286	12
blue	amber_boltz	cartesian_beta	0.9232629166666667	0.07509463297788552	12
blue	amber_boltz	cartesian_ref15	0.9118727272727273	0.08823017999425241	11
blue	amber_boltz	dualspace_beta	0.908141818181818	0.07996394460232459	11
blue	amber_boltz	dualspace_ref15	0.9103372727272727	0.07736662253076697	11
blue	amber_boltz	normal_beta	0.9239688888888887	0.08934252968833553	9
blue	amber_boltz	normal_ref15	0.9243955555555554	0.08781782892885578	9
blue	boltz	cartesian_beta	0.9387114552845528	0.05388724072747524	41
blue	boltz	cartesian_ref15	0.9340753495934959	0.056224960973305496	41
blue	boltz	dualspace_beta	0.9349564308943089	0.05476450350760692	41
blue	boltz	dualspace_ref15	0.9296123070175439	0.058211258549151504	38
blue	boltz	normal_beta	0.9432407523809524	0.06062522793910888	35
blue	boltz	normal_ref15	0.9400778645833333	0.06303230624774399	32
blue	crystal	cartesian_beta	0.9517866666666666	0.03647360826680024	9
blue	crystal	cartesian_ref15	0.9494955555555555	0.03461427419111629	9
blue	crystal	dualspace_beta	0.9450833333333334	0.0425017276119454	9
blue	crystal	dualspace_ref15	0.9320225	0.039482830174284986	8
blue	crystal	normal_beta	0.94694	0.06545817595992118	8
blue	crystal	normal_ref15	0.9314171428571428	0.08299716495445002	7
green	af_relaxed	cartesian_beta	0.9257727405966278	0.107225723477129	257
green	af_relaxed	cartesian_ref15	0.9232926368352788	0.10746686028525188	257
green	af_relaxed	dualspace_beta	0.9173977976653697	0.1134128292414489	257
green	af_relaxed	dualspace_ref15	0.916048542153048	0.11290517574754988	257
green	af_relaxed	normal_beta	0.9245905616083009	0.11415703702804843	257
green	af_relaxed	normal_ref15	0.9235284824902724	0.11471383360678236	257
green	af_unrelaxed	cartesian_beta	0.9258327819548873	0.11546594779343726	133
green	af_unrelaxed	cartesian_ref15	0.9222720390625	0.11732923771919178	128
green	af_unrelaxed	dualspace_beta	0.9120454634146341	0.12872681216299095	123
green	af_unrelaxed	dualspace_ref15	0.9095357438016529	0.12807253310294564	121
green	af_unrelaxed	normal_beta	0.9171515367231639	0.13001085362231532	118
green	af_unrelaxed	normal_ref15	0.9174271217391304	0.12908177457361192	115
green	amber_af	cartesian_beta	0.9245965925925925	0.059923066996513945	18
green	amber_af	cartesian_ref15	0.9186018888888889	0.07086982406086743	18
green	amber_af	dualspace_beta	0.8917098431372549	0.12359470849616357	17
green	amber_af	dualspace_ref15	0.8885743333333334	0.12681815277560493	17
green	amber_af	normal_beta	0.9074863529411764	0.1178377530128509	17
green	amber_af	normal_ref15	0.9061568039215686	0.11737157914800016	17
green	amber_boltz	cartesian_beta	0.8635574444444445	0.0884601990063998	6
green	amber_boltz	cartesian_ref15	0.8681377777777778	0.08236998923897969	6
green	amber_boltz	dualspace_beta	0.8175034444444443	0.14705447181861508	6
green	amber_boltz	dualspace_ref15	0.8153676666666666	0.14185143793936905	6
green	amber_boltz	normal_beta	0.833792	0.1512780334298407	6
green	amber_boltz	normal_ref15	0.8363290000000001	0.15110209815485692	6
green	boltz	cartesian_beta	0.932831439716312	0.06225012385941563	47
green	boltz	cartesian_ref15	0.9283929565217391	0.06537001667875562	46
green	boltz	dualspace_beta	0.918851	0.0880595358395194	46
green	boltz	dualspace_ref15	0.9151229555555555	0.09081602879141117	45
green	boltz	normal_beta	0.9261176518518519	0.08858703426471592	45
green	boltz	normal_ref15	0.9225049047619048	0.09100035950372082	42
green	crystal	cartesian_beta	0.9388866666666665	0.028972913787421034	3
green	crystal	cartesian_ref15	0.9506333333333332	0.01558960337318859	3
green	crystal	dualspace_beta	0.9338000000000001	0.04505908565428291	3
green	crystal	dualspace_ref15	0.9186666666666666	0.05721423016464813	3
green	crystal	normal_beta	0.9562133333333334	0.03020147237028906	3
green	crystal	normal_ref15	0.9526133333333333	0.030268467640984634	3
