pipeline	source	protocol	metric	mean	ci_lo	ci_hi	n_targets
blue	amber_af	normal_beta	rama_favored	98.2072	98.1165	98.2979	253
blue	amber_af	normal_ref15	clashscore	0.974	0.914	1.034	253
blue	amber_af	normal_ref15	molprobity_score	0.3309	0.3153	0.3465	253
blue	amber_af	normal_ref15	rota_outliers	0.0316	0.025	0.0381	253
blue	amber_af	normal_ref15	rama_favored	97.9271	97.8291	98.0251	253
blue	amber_boltz	cartesian_beta	clashscore	0.7445	0.7121	0.777	253
blue	amber_boltz	cartesian_beta	molprobity_score	0.2399	0.2306	0.2492	253
blue	amber_boltz	cartesian_beta	rota_outliers	0.0166	0.0128	0.0205	253
blue	amber_boltz	cartesian_beta	rama_favored	98.6829	98.6101	98.7556	253
blue	amber_boltz	cartesian_ref15	clashscore	1.4116	1.3599	1.4634	253
blue	amber_boltz	cartesian_ref15	molprobity_score	0.3839	0.3723	0.3954	253
blue	amber_boltz	cartesian_ref15	rota_outliers	0.0169	0.0123	0.0215	253
blue	amber_boltz	cartesian_ref15	rama_favored	98.4496	98.3746	98.5245	253
blue	amber_boltz	dualspace_beta	clashscore	0.6791	0.6487	0.7095	253
blue	amber_boltz	dualspace_beta	molprobity_score	0.2224	0.2132	0.2315	253
blue	amber_boltz	dualspace_beta	rota_outliers	0.0158	0.0125	0.0192	253
blue	amber_boltz	dualspace_beta	rama_favored	98.7302	98.6584	98.8019	253
blue	amber_boltz	dualspace_ref15	clashscore	1.3109	1.2612	1.3606	253
blue	amber_boltz	dualspace_ref15	molprobity_score	0.3621	0.3508	0.3734	253
blue	amber_boltz	dualspace_ref15	rota_outliers	0.016	0.0107	0.0212	253
blue	amber_boltz	dualspace_ref15	rama_favored	98.5175	98.4441	98.591	253
blue	amber_boltz	normal_beta	clashscore	0.6405	0.5548	0.7262	253
blue	amber_boltz	normal_beta	molprobity_score	0.2195	0.2062	0.2329	253
blue	amber_boltz	normal_beta	rota_outliers	0.0261	0.0206	0.0315	253
blue	amber_boltz	normal_beta	rama_favored	98.3282	98.2407	98.4157	253
blue	amber_boltz	normal_ref15	clashscore	0.8936	0.8153	0.9719	253
blue	amber_boltz	normal_ref15	molprobity_score	0.2988	0.2854	0.3122	253
blue	amber_boltz	normal_ref15	rota_outliers	0.03	0.0233	0.0367	253
blue	amber_boltz	normal_ref15	rama_favored	98.1044	98.0198	98.189	253
blue	amber_crystal	cartesian_beta	clashscore	0.866	0.8162	0.9157	253
blue	amber_crystal	cartesian_beta	molprobity_score	0.3187	0.2995	0.3378	253
blue	amber_crystal	cartesian_beta	rota_outliers	0.0269	0.0192	0.0346	253
blue	amber_crystal	cartesian_beta	rama_favored	97.9835	97.8525	98.1145	253
blue	amber_crystal	cartesian_ref15	clashscore	1.5408	1.4698	1.6118	253
blue	amber_crystal	cartesian_ref15	molprobity_score	0.4614	0.4409	0.4818	253
blue	amber_crystal	cartesian_ref15	rota_outliers	0.022	0.0147	0.0293	253
blue	amber_crystal	cartesian_ref15	rama_favored	97.806	97.6764	97.9355	253
blue	amber_crystal	dualspace_beta	clashscore	0.817	0.7721	0.8619	253
blue	amber_crystal	dualspace_beta	molprobity_score	0.3138	0.2948	0.3327	253
blue	amber_crystal	dualspace_beta	rota_outliers	0.0213	0.015	0.0276	253
blue	amber_crystal	dualspace_beta	rama_favored	97.922	97.7792	98.0648	253
blue	amber_crystal	dualspace_ref15	clashscore	1.4751	1.4099	1.5403	253
blue	amber_crystal	dualspace_ref15	molprobity_score	0.4555	0.4357	0.4753	253
blue	amber_crystal	dualspace_ref15	rota_outliers	0.0248	0.0164	0.0332	253
blue	amber_crystal	dualspace_ref15	rama_favored	97.7633	97.6281	97.8985	253
blue	amber_crystal	normal_beta	clashscore	0.677	0.5977	0.7563	253
blue	amber_crystal	normal_beta	molprobity_score	0.3262	0.3027	0.3497	253
blue	amber_crystal	normal_beta	rota_outliers	0.0512	0.0395	0.063	253
blue	amber_crystal	normal_beta	rama_favored	97.3125	97.1473	97.4777	253
blue	amber_crystal	normal_ref15	clashscore	1.0838	0.9903	1.1772	253
blue	amber_crystal	normal_ref15	molprobity_score	0.441	0.4157	0.4663	253
blue	amber_crystal	normal_ref15	rota_outliers	0.049	0.0373	0.0607	253
blue	amber_crystal	normal_ref15	rama_favored	97.063	96.9016	97.2243	253
blue	boltz	cartesian_beta	clashscore	0.7313	0.7	0.7626	257
blue	boltz	cartesian_beta	molprobity_score	0.2369	0.2279	0.2459	257
blue	boltz	cartesian_beta	rota_outliers	0.0194	0.0142	0.0245	257
blue	boltz	cartesian_beta	rama_favored	98.6819	98.6092	98.7545	257
blue	boltz	cartesian_ref15	clashscore	1.3868	1.3319	1.4418	257
blue	boltz	cartesian_ref15	molprobity_score	0.3755	0.3638	0.3871	257
blue	boltz	cartesian_ref15	rota_outliers	0.0196	0.0142	0.0251	257
blue	boltz	cartesian_ref15	rama_favored	98.4977	98.4254	98.5701	257
blue	boltz	dualspace_beta	clashscore	0.6975	0.6692	0.7258	257
blue	boltz	dualspace_beta	molprobity_score	0.2266	0.2181	0.235	257
blue	boltz	dualspace_beta	rota_outliers	0.0218	0.0169	0.0268	257
blue	boltz	dualspace_beta	rama_favored	98.7445	98.674	98.8151	257
blue	boltz	dualspace_ref15	clashscore	1.2972	1.2475	1.347	257
blue	boltz	dualspace_ref15	molprobity_score	0.356	0.3452	0.3669	257
blue	boltz	dualspace_ref15	rota_outliers	0.0164	0.0117	0.0212	257
blue	boltz	dualspace_ref15	rama_favored	98.5955	98.5253	98.6656	257
blue	boltz	normal_beta	clashscore	0.6106	0.57	0.6513	257
blue	boltz	normal_beta	molprobity_score	0.2135	0.2025	0.2245	257
blue	boltz	normal_beta	rota_outliers	0.0332	0.0263	0.0401	257
blue	boltz	normal_beta	rama_favored	98.4419	98.3626	98.5211	257
blue	boltz	normal_ref15	clashscore	0.9026	0.8559	0.9492	257
blue	boltz	normal_ref15	molprobity_score	0.2872	0.2754	0.299	257
blue	boltz	normal_ref15	rota_outliers	0.0329	0.0263	0.0395	257
blue	boltz	normal_ref15	rama_favored	98.3366	98.2594	98.4138	257
blue	crystal	cartesian_beta	clashscore	0.9448	0.8933	0.9963	252
blue	crystal	cartesian_beta	molprobity_score	0.3587	0.3374	0.3799	252
blue	crystal	cartesian_beta	rota_outliers	0.0323	0.0235	0.0411	252
blue	crystal	cartesian_beta	rama_favored	97.7086	97.5545	97.8627	252
blue	crystal	cartesian_ref15	clashscore	1.6056	1.5349	1.6763	252
blue	crystal	cartesian_ref15	molprobity_score	0.49	0.469	0.5111	252
blue	crystal	cartesian_ref15	rota_outliers	0.0301	0.0214	0.0388	252
blue	crystal	cartesian_ref15	rama_favored	97.5932	97.4502	97.7363	252
blue	crystal	dualspace_beta	clashscore	0.8053	0.7666	0.844	252
blue	crystal	dualspace_beta	molprobity_score	0.2954	0.2787	0.3121	252
blue	crystal	dualspace_beta	rota_outliers	0.0196	0.0128	0.0264	252
blue	crystal	dualspace_beta	rama_favored	98.1098	97.9762	98.2434	252
blue	crystal	dualspace_ref15	clashscore	1.4541	1.3896	1.5185	252
blue	crystal	dualspace_ref15	molprobity_score	0.4252	0.4065	0.4439	252
blue	crystal	dualspace_ref15	rota_outliers	0.0208	0.0131	0.0285	252
blue	crystal	dualspace_ref15	rama_favored	98.0253	97.8954	98.1553	252
blue	crystal	normal_beta	clashscore	0.8972	0.8302	0.9642	252
blue	crystal	normal_beta	molprobity_score	0.3506	0.326	0.3752	252
blue	crystal	normal_beta	rota_outliers	0.0595	0.0468	0.0722	252
blue	crystal	normal_beta	rama_favored	97.6039	97.4435	97.7643	252
blue	crystal	normal_ref15	clashscore	1.3526	1.2221	1.4831	252
blue	crystal	normal_ref15	molprobity_score	0.438	0.4138	0.4622	252
blue	crystal	normal_ref15	rota_outliers	0.0567	0.0438	0.0696	252
blue	crystal	normal_ref15	rama_favored	97.5437	97.3977	97.6897	252
green	af_relaxed	cartesian_beta	clashscore	0.7623	0.729	0.7956	257
green	af_relaxed	cartesian_beta	molprobity_score	0.2457	0.2359	0.2555	257
green	af_relaxed	cartesian_beta	rota_outliers	0.0192	0.0144	0.024	257
green	af_relaxed	cartesian_beta	rama_favored	98.6268	98.5519	98.7016	257
green	af_relaxed	cartesian_ref15	clashscore	1.4402	1.3852	1.4952	257
green	af_relaxed	cartesian_ref15	molprobity_score	0.39	0.3774	0.4027	257
green	af_relaxed	cartesian_ref15	rota_outliers	0.0159	0.0114	0.0203	257
green	af_relaxed	cartesian_ref15	rama_favored	98.3979	98.3165	98.4793	257
green	af_relaxed	dualspace_beta	clashscore	0.6955	0.6629	0.7281	257
green	af_relaxed	dualspace_beta	molprobity_score	0.2288	0.219	0.2386	257
green	af_relaxed	dualspace_beta	rota_outliers	0.0176	0.0129	0.0222	257
green	af_relaxed	dualspace_beta	rama_favored	98.6644	98.5887	98.7401	257
green	af_relaxed	dualspace_ref15	clashscore	1.3418	1.2882	1.3954	257
green	af_relaxed	dualspace_ref15	molprobity_score	0.3703	0.3582	0.3824	257
green	af_relaxed	dualspace_ref15	rota_outliers	0.0143	0.0096	0.0189	257
green	af_relaxed	dualspace_ref15	rama_favored	98.4353	98.3541	98.5165	257
green	af_relaxed	normal_beta	clashscore	0.6657	0.6046	0.7267	257
green	af_relaxed	normal_beta	molprobity_score	0.2369	0.2227	0.2512	257
green	af_relaxed	normal_beta	rota_outliers	0.0392	0.0312	0.0472	257
green	af_relaxed	normal_beta	rama_favored	98.1704	98.0748	98.2661	257
green	af_relaxed	normal_ref15	clashscore	1.0014	0.9156	1.0871	257
green	af_relaxed	normal_ref15	molprobity_score	0.331	0.3148	0.3471	257
green	af_relaxed	normal_ref15	rota_outliers	0.0338	0.0264	0.0413	257
green	af_relaxed	normal_ref15	rama_favored	97.895	97.7942	97.9958	257
green	af_unrelaxed	cartesian_beta	clashscore	0.7584	0.7261	0.7907	257
green	af_unrelaxed	cartesian_beta	molprobity_score	0.2434	0.2343	0.2526	257
green	af_unrelaxed	cartesian_beta	rota_outliers	0.0265	0.0203	0.0327	257
green	af_unrelaxed	cartesian_beta	rama_favored	98.6568	98.5861	98.7274	257
green	af_unrelaxed	cartesian_ref15	clashscore	1.4383	1.3843	1.4924	257
green	af_unrelaxed	cartesian_ref15	molprobity_score	0.3875	0.3756	0.3994	257
green	af_unrelaxed	cartesian_ref15	rota_outliers	0.0204	0.0154	0.0255	257
green	af_unrelaxed	cartesian_ref15	rama_favored	98.4438	98.3701	98.5174	257
green	af_unrelaxed	dualspace_beta	clashscore	0.6963	0.6675	0.725	257
green	af_unrelaxed	dualspace_beta	molprobity_score	0.2262	0.2178	0.2345	257
green	af_unrelaxed	dualspace_beta	rota_outliers	0.0192	0.0146	0.0237	257
green	af_unrelaxed	dualspace_beta	rama_favored	98.7247	98.6569	98.7925	257
green	af_unrelaxed	dualspace_ref15	clashscore	1.27	1.223	1.317	257
green	af_unrelaxed	dualspace_ref15	molprobity_score	0.3532	0.3423	0.364	257
green	af_unrelaxed	dualspace_ref15	rota_outliers	0.0162	0.0114	0.021	257
green	af_unrelaxed	dualspace_ref15	rama_favored	98.5221	98.4484	98.5958	257
green	af_unrelaxed	normal_beta	clashscore	0.8577	0.7924	0.9229	257
green	af_unrelaxed	normal_beta	molprobity_score	0.2861	0.2718	0.3005	257
green	af_unrelaxed	normal_beta	rota_outliers	0.0589	0.0484	0.0695	257
green	af_unrelaxed	normal_beta	rama_favored	98.1622	98.0719	98.2526	257
green	af_unrelaxed	normal_ref15	clashscore	1.2847	1.2103	1.3592	257
green	af_unrelaxed	normal_ref15	molprobity_score	0.3857	0.3701	0.4012	257
green	af_unrelaxed	normal_ref15	rota_outliers	0.0363	0.0288	0.0437	257
green	af_unrelaxed	normal_ref15	rama_favored	98.005	97.9049	98.1051	257
green	amber_af	cartesian_beta	clashscore	0.7538	0.7196	0.788	257
green	amber_af	cartesian_beta	molprobity_score	0.2431	0.2334	0.2528	257
green	amber_af	cartesian_beta	rota_outliers	0.0184	0.0136	0.0232	257
green	amber_af	cartesian_beta	rama_favored	98.63	98.5569	98.7031	257
green	amber_af	cartesian_ref15	clashscore	1.4335	1.3802	1.4868	257
green	amber_af	cartesian_ref15	molprobity_score	0.3901	0.3776	0.4027	257
green	amber_af	cartesian_ref15	rota_outliers	0.0166	0.0119	0.0214	257
green	amber_af	cartesian_ref15	rama_favored	98.3961	98.3142	98.478	257
green	amber_af	dualspace_beta	clashscore	0.6986	0.6645	0.7327	256
